standards_from_fairshare_search,link,github_page,platform_used,purpose,does_this_format_allow_editing,stored_in_repository?,which_repository
FoodOn,https://github.com/FoodOntology/foodon,yes,github,editing documents | releasing version,yes,yes,OLS
Semantic Web for Earth and Environment Technology Ontology,https://github.com/ESIPFed/sweet,yes,github,editing documents | releasing version,yes,no,not in repository
Subject Resource Application Ontology,https://github.com/FAIRsharing/subject-ontology,yes,github,editing documents | releasing version,yes,no,not in repository
Domain Resource Application Ontology,https://github.com/FAIRsharing/domain-ontology,yes,github,editing documents | releasing version,yes,no,not in repository
Space Physics Archive Search and Extract Simulation Extensions,https://github.com/spase-group,yes,github,hosting their website,yes,no,not in repository
Marine Community Profile of ISO 19115,https://github.com/mcpgovernance/mcp-profile-docs,yes,hosting their website | not getting feedback on format,conveying information,yes,no,not in repository
United States Geoscience Information Network Metadata Profile,https://github.com/usgin/usginspecs,yes,github,editing documents | releasing version,yes,yes,USGIN
World Meteorological Organization Core Metadata Profile,https://github.com/wmo-im/wmcp,yes,github,editing documents | releasing version,yes,no,not in repository
Access to Biological Collection Databases,https://github.com/tdwg/abcd,yes,github,editing documents | releasing version,yes,no,not in repository
Environmental Thesaurus,https://github.com/LTER-Europe/EnvThes,yes,github,editing documents | releasing version,yes,no,not in repository
Sustainable Development Goals Interface Ontology,https://github.com/SDG-InterfaceOntology/sdgio,yes,github,editing documents | releasing version,yes,no,not in repository
ASCII File Format Guidelines for Earth Science Data,N/A,yes,own website,conveying information,no,yes,earthdata
GeoJSON,https://github.com/geojson,yes,github,editing documents | releasing version,yes,no,not in repository
Darwin Core Germplasm,https://github.com/dagendresen/darwincore-germplasm,yes,github,editing documents | releasing version,yes,no,not in repository
Meta-omics Data and Collection Objects,https://github.com/metaOmics,yes,github,editing documents | releasing version,yes,no,not in repository
Phenotypic QualiTy Ontology,https://github.com/pato-ontology/pato/,yes,github,editing documents | releasing version,yes,yes,bioportal
Globally Unique Identifier and Life Science Identifier Applicability Statement,https://github.com/tdwg/guid-as,yes,github,editing documents | releasing version,yes,no,not in repository
TDWG Access Protocol for Information Retrieval,https://github.com/tdwg/tapir,yes,github,editing documents | releasing version,yes,no,not in repository
Structured Descriptive Data,https://github.com/tdwg/sdd,yes,github,editing documents | releasing version,yes,no,not in repository
Taxonomic Concept transfer Schema,https://github.com/tdwg/tcs,yes,github,conveying information,no,no,not in repository
DEscription Language for TAxonomy,http://www.tdwg.org/standards/107/,yes,github,conveying information,no,no,not in repository
Audubon Core Multimedia Resources Metadata Schema,https://github.com/tdwg/ac,yes,github,editing documents | releasing version,yes,no,not in repository
Access to Biological Collection Data DNA extension,https://github.com/tdwg/abcddna,yes,github,conveying information,no,no,not in repository
Apollo-SV,https://github.com/tdwg/dwc,yes,github,editing documents | releasing version,yes,yes,zenodo
population and community ontology,https://github.com/PopulationAndCommunityOntology/pco,yes,github,editing documents | releasing version,yes,no,not in repository
Flora Phenotype Ontology,https://github.com/flora-phenotype-ontology/flopoontology,yes,github,conveying information,no,no,not in repository
Herbarium information standards and protocols for interchange of data,https://github.com/tdwg/prior-standards/tree/master/hispid3,yes,github,conveying information,no,no,not in repository
Economic Botany Data Collection Standard,https://github.com/tdwg/prior-standards/tree/master/economic-botany-data-collection-standard,yes,github,conveying information,no,no,not in repository
